family,max_unclassified
lua/transferfacts,3
engine/factflow,537
engine/operationplan,138
engine/factquery,14
engine/visibility,47
engine/sourcevalue,37
engine/sourceprojection,1
engine/typenarrow,4
engine/factapply,92
engine/effectlowering,41
engine/callboundary,95
engine/callpayload,29
engine/calloutcome,3
engine/callproducer,2
engine/transfer,31
engine/solve,61
engine/workplan,5
check/body,563
check/fixpoint,554
check/readmodel,214
check/internal/readmodel,121
check/obligation,98
check/diagnostics,221
check/placementplan,40
check/exportmanifest,1
check/service,143
check/judgment,423
